"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Profit","Profit_Margin"
"13","FDX32",15.1,"Regular",0.100014,"Fruits and Vegetables",145.4786,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1589.265,1443.7864,90.846
"14","FDS46",17.6,"Regular",0.047257,"Snack Foods",119.6782,"OUT046","1997","Small","Tier 1","Supermarket Type1",2145.208,2025.5298,94.421
"15","FDF32",16.35,"Low_Fat",0.068024,"Fruits and Vegetables",196.4426,"OUT013","1987","High","Tier 3","Supermarket Type1",1977.426,1780.9834,90.066
"16","FDP49",9,"Regular",0.069089,"Breakfast",56.3614,"OUT046","1997","Small","Tier 1","Supermarket Type1",1547.319,1490.9576,96.357
"17","NCB42",11.8,"Low_Fat",0.008596,"Health and Hygiene",115.3492,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1621.889,1506.5398,92.888
"18","FDP49",9,"Regular",0.069196,"Breakfast",54.3614,"OUT049","1999","Medium","Tier 1","Supermarket Type1",718.3982,664.0368,92.433
"19","DRI11",8.26,"Low_Fat",0.034238,"Hard Drinks",113.2834,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2303.668,2190.3846,95.082
"20","FDU02",13.35,"Low_Fat",0.102492,"Dairy",230.5352,"OUT035","2004","Small","Tier 2","Supermarket Type1",2748.422,2517.8868,91.612
"21","FDN22",18.85,"Regular",0.13819,"Snack Foods",250.8724,"OUT013","1987","High","Tier 3","Supermarket Type1",3775.086,3524.2136,93.355
"22","FDW12",8.315,"Regular",0.0354,"Baking Goods",144.5444,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4064.043,3919.4986,96.443
"23","NCB30",14.6,"Low_Fat",0.025698,"Household",196.5084,"OUT035","2004","Small","Tier 2","Supermarket Type1",1587.267,1390.7586,87.62
"24","FDC37",15.5,"Low_Fat",0.057557,"Baking Goods",107.6938,"OUT019","1985","Small","Tier 1","Grocery Store",214.3876,106.6938,49.767
"25","FDR28",13.85,"Regular",0.025896,"Frozen Foods",165.021,"OUT046","1997","Small","Tier 1","Supermarket Type1",4078.025,3913.004,95.953
"26","NCD06",13,"Low_Fat",0.099887,"Household",45.906,"OUT017","2007","Small","Tier 2","Supermarket Type1",838.908,793.002,94.528
"27","FDV10",7.645,"Regular",0.066693,"Snack Foods",42.3112,"OUT035","2004","Small","Tier 2","Supermarket Type1",1065.28,1022.9688,96.028
"28","DRJ59",11.65,"Low_Fat",0.019356,"Hard Drinks",39.1164,"OUT013","1987","High","Tier 3","Supermarket Type1",308.9312,269.8148,87.338
"29","FDE51",5.925,"Regular",0.161467,"Dairy",45.5086,"OUT010","1998","Small","Tier 3","Grocery Store",178.4344,132.9258,74.496
"30","FDC14",14.5,"Regular",0.072222,"Canned",43.6454,"OUT019","1985","Small","Tier 1","Grocery Store",125.8362,82.1908,65.316
"31","FDV38",19.25,"Low_Fat",0.170349,"Dairy",55.7956,"OUT010","1998","Small","Tier 3","Grocery Store",163.7868,107.9912,65.934
"32","NCS17",18.6,"Low_Fat",0.080829,"Health and Hygiene",96.4436,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2741.764,2645.3204,96.482
"33","FDP33",18.7,"Low_Fat",0.0855651666666667,"Snack Foods",256.6672,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3068.006,2811.3388,91.634
"34","FDO23",17.85,"Low_Fat",0.141296857142857,"Breads",93.1436,"OUT045","2002","Small","Tier 2","Supermarket Type1",2174.503,2081.3594,95.717
"35","DRH01",17.5,"Low_Fat",0.097904,"Soft Drinks",174.8738,"OUT046","1997","Small","Tier 1","Supermarket Type1",2085.286,1910.4122,91.614
"36","NCX29",10,"Low_Fat",0.089291,"Health and Hygiene",146.7102,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3791.065,3644.3548,96.13
"37","FDV20",20.2,"Regular",0.059512,"Fruits and Vegetables",128.0678,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2797.692,2669.6242,95.422
"38","DRZ11",8.85,"Regular",0.113124,"Soft Drinks",122.5388,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1609.904,1487.3652,92.388
"39","FDX10",6.385,"Regular",0.123111,"Snack Foods",36.9874,"OUT027","1985","Medium","Tier 3","Supermarket Type3",388.1614,351.174,90.471
"40","FDB34",15.25,"Low_Fat",0.026481,"Snack Foods",87.6198,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2180.495,2092.8752,95.982
"41","FDU02",13.35,"Low_Fat",0.102512,"Dairy",230.6352,"OUT046","1997","Small","Tier 1","Supermarket Type1",3435.528,3204.8928,93.287
"42","FDK43",9.8,"Low_Fat",0.026818,"Meat",126.002,"OUT013","1987","High","Tier 3","Supermarket Type1",2150.534,2024.532,94.141
"43","FDA46",13.6,"Low_Fat",0.117818,"Snack Foods",192.9136,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2527.377,2334.4634,92.367
"44","FDC02",21.35,"Low_Fat",0.069103,"Canned",259.9278,"OUT018","2009","Medium","Tier 3","Supermarket Type2",6768.523,6508.5952,96.16
"45","FDL50",12.15,"Regular",0.042278,"Canned",126.5046,"OUT013","1987","High","Tier 3","Supermarket Type1",373.5138,247.0092,66.131
"46","FDM39",6.42,"Low_Fat",0.089499,"Dairy",178.1002,"OUT010","1998","Small","Tier 3","Grocery Store",358.2004,180.1002,50.279
"47","NCP05",19.6,"Low_Fat",0.02110175,"Health and Hygiene",153.3024,"OUT045","2002","Small","Tier 2","Supermarket Type1",2428.838,2275.5356,93.688
"48","FDV49",10,"Low_Fat",0.02588,"Canned",265.2226,"OUT045","2002","Small","Tier 2","Supermarket Type1",5815.097,5549.8744,95.439
"49","FDL12",15.85,"Regular",0.121633,"Baking Goods",60.622,"OUT046","1997","Small","Tier 1","Supermarket Type1",2576.646,2516.024,97.647
"50","FDS02",10.195,"Regular",0.255395,"Dairy",196.8794,"OUT019","1985","Small","Tier 1","Grocery Store",780.3176,583.4382,74.769
"51","NCL17",7.39,"Low_Fat",0.06778,"Health and Hygiene",143.8812,"OUT046","1997","Small","Tier 1","Supermarket Type1",3134.586,2990.7048,95.41
"52","FDM40",10.195,"Low_Fat",0.159804,"Frozen Foods",141.5154,"OUT013","1987","High","Tier 3","Supermarket Type1",850.8924,709.377,83.369
"53","FDR13",9.895,"Regular",0.028697,"Canned",117.0492,"OUT013","1987","High","Tier 3","Supermarket Type1",810.9444,693.8952,85.566
"54","FDA43",10.895,"Low_Fat",0.065042,"Fruits and Vegetables",196.3794,"OUT017","2007","Small","Tier 2","Supermarket Type1",3121.27,2924.8906,93.708
"55","NCP18",12.15,"Low_Fat",0.02876,"Household",151.4708,"OUT017","2007","Small","Tier 2","Supermarket Type1",4815.066,4663.5952,96.854
"56","FDK21",7.905,"Low_Fat",0.010053,"Snack Foods",249.0408,"OUT018","2009","Medium","Tier 3","Supermarket Type2",6258.52,6009.4792,96.021
"57","NCX54",9.195,"Low_Fat",0.048157,"Household",106.1622,"OUT045","2002","Small","Tier 2","Supermarket Type1",2117.244,2011.0818,94.986
"58","DRK35",8.365,"Low_Fat",0.071958,"Hard Drinks",38.0506,"OUT049","1999","Medium","Tier 1","Supermarket Type1",796.9626,758.912,95.226
"59","FDY21",15.1,"Low_Fat",0.173481,"Snack Foods",194.511,"OUT046","1997","Small","Tier 1","Supermarket Type1",4910.275,4715.764,96.039
"60","FDI26",5.94,"Low_Fat",0.061082,"Canned",180.0344,"OUT019","1985","Small","Tier 1","Grocery Store",892.172,712.1376,79.821
"61","FDM20",10,"Low_Fat",0.023249,"Fruits and Vegetables",246.9144,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3185.187,2938.2726,92.248
"62","FDV27",7.97,"Regular",0.040071,"Meat",87.3514,"OUT045","2002","Small","Tier 2","Supermarket Type1",1062.617,975.2656,91.78
"63","FDF09",6.215,"Low_Fat",0.01209,"Fruits and Vegetables",38.2848,"OUT027","1985","Medium","Tier 3","Supermarket Type3",484.7024,446.4176,92.101
"64","FDY40",15.5,"Regular",0.150286,"Frozen Foods",51.0692,"OUT019","1985","Small","Tier 1","Grocery Store",147.8076,96.7384,65.449
"65","FDY45",17.5,"Low_Fat",0.026016,"Snack Foods",255.8356,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2543.356,2287.5204,89.941
"66","FDC46",17.7,"Low_Fat",0.195068,"Snack Foods",185.4266,"OUT010","1998","Small","Tier 3","Grocery Store",184.4266,-1,-0.542
"67","FDH19",19.35,"Low_Fat",0.033082,"Meat",172.5738,"OUT035","2004","Small","Tier 2","Supermarket Type1",4865.666,4693.0922,96.453
"68","FDZ03",13.65,"Regular",0.078946,"Dairy",186.024,"OUT045","2002","Small","Tier 2","Supermarket Type1",1118.544,932.52,83.369
"69","DRH37",17.6,"Low_Fat",0.041701,"Soft Drinks",164.8526,"OUT045","2002","Small","Tier 2","Supermarket Type1",2302.336,2137.4834,92.84
"70","NCI17",8.645,"Low_Fat",0.143423,"Health and Hygiene",95.841,"OUT046","1997","Small","Tier 1","Supermarket Type1",2027.361,1931.52,95.273
"71","FDJ58",15.6,"Regular",0.105296,"Snack Foods",170.1764,"OUT046","1997","Small","Tier 1","Supermarket Type1",3435.528,3265.3516,95.047
"72","FDL12",15.85,"Regular",0.121532,"Baking Goods",59.222,"OUT013","1987","High","Tier 3","Supermarket Type1",599.22,539.998,90.117
"73","FDH35",18.25,"Low_Fat",0.0569883333333333,"Starchy Foods",164.7526,"OUT045","2002","Small","Tier 2","Supermarket Type1",4604.673,4439.9204,96.422
"74","FDG02",7.855,"Low_Fat",0.011325,"Canned",189.6188,"OUT017","2007","Small","Tier 2","Supermarket Type1",2285.026,2095.4072,91.702
"75","NCZ18",7.825,"Low_Fat",0.186357,"Household",254.3698,"OUT049","1999","Medium","Tier 1","Supermarket Type1",5580.736,5326.3662,95.442
"76","FDC29",8.39,"Regular",0.024206,"Frozen Foods",114.0176,"OUT046","1997","Small","Tier 1","Supermarket Type1",2290.352,2176.3344,95.022
"77","FDQ10",12.85,"Low_Fat",0.033231,"Snack Foods",172.3422,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1207.095,1034.7528,85.723
"78","FDN48",13.35,"Low_Fat",0.11372,"Baking Goods",89.9804,"OUT019","1985","Small","Tier 1","Grocery Store",643.1628,553.1824,86.01
"79","FDL04",19,"Low_Fat",0.112557,"Frozen Foods",104.9622,"OUT017","2007","Small","Tier 2","Supermarket Type1",1587.933,1482.9708,93.39
"80","FDV25",5.905,"Low_Fat",0.0434212,"Canned",222.5456,"OUT045","2002","Small","Tier 2","Supermarket Type1",5305.094,5082.5484,95.805
"81","FDD58",7.76,"Low_Fat",0.059352,"Snack Foods",101.87,"OUT046","1997","Small","Tier 1","Supermarket Type1",1697.79,1595.92,94
"82","FDN04",11.8,"Regular",0.014087,"Frozen Foods",180.3344,"OUT046","1997","Small","Tier 1","Supermarket Type1",1427.475,1247.1406,87.367
"83","FDV45",16.75,"Low_Fat",0.045231,"Snack Foods",187.9556,"OUT018","2009","Medium","Tier 3","Supermarket Type2",4693.89,4505.9344,95.996
"84","NCL18",18.85,"Low_Fat",0.293418,"Household",194.6136,"OUT019","1985","Small","Tier 1","Grocery Store",583.2408,388.6272,66.632
"85","FDR12",12.6,"Regular",0.031382,"Baking Goods",171.3764,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3091.975,2920.5986,94.457
"86","FDG20",15.5,"Regular",0.126399,"Fruits and Vegetables",177.0028,"OUT017","2007","Small","Tier 2","Supermarket Type1",2479.439,2302.4362,92.861
"87","FDZ55",6.055,"Low_Fat",0.025404,"Fruits and Vegetables",160.992,"OUT035","2004","Small","Tier 2","Supermarket Type1",2716.464,2555.472,94.073
"88","FDQ49",20.2,"Regular",0.039058,"Breakfast",155.963,"OUT027","1985","Medium","Tier 3","Supermarket Type3",3285.723,3129.76,95.253
"89","FDN33",6.305,"Regular",0.123116,"Snack Foods",95.6436,"OUT046","1997","Small","Tier 1","Supermarket Type1",661.8052,566.1616,85.548
"90","FDN27",20.85,"Low_Fat",0.039624,"Meat",117.2808,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1523.35,1406.0692,92.301
"91","FDW20",20.75,"Low_Fat",0.040421,"Fruits and Vegetables",122.173,"OUT010","1998","Small","Tier 3","Grocery Store",369.519,247.346,66.937
"92","DRG27",8.895,"Low_Fat",0.105274,"Dairy",39.9138,"OUT049","1999","Medium","Tier 1","Supermarket Type1",690.4346,650.5208,94.219
"93","DRI25",19.6,"Low_Fat",0.03397,"Soft Drinks",55.1614,"OUT045","2002","Small","Tier 2","Supermarket Type1",1381.535,1326.3736,96.007
"94","FDA44",19.7,"Low_Fat",0.053213,"Fruits and Vegetables",57.893,"OUT035","2004","Small","Tier 2","Supermarket Type1",622.523,564.63,90.7
"95","NCR17",9.8,"Low_Fat",0.024379,"Health and Hygiene",114.5492,"OUT035","2004","Small","Tier 2","Supermarket Type1",1274.341,1159.7918,91.011
"96","FDU04",7.93,"Low_Fat",0.009715,"Frozen Foods",120.0414,"OUT019","1985","Small","Tier 1","Grocery Store",487.3656,367.3242,75.369
"97","FDF41",12.15,"Low_Fat",0.131384,"Frozen Foods",246.046,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1231.73,985.684,80.024
"98","FDB56",8.75,"Regular",0.074613,"Fruits and Vegetables",187.4556,"OUT035","2004","Small","Tier 2","Supermarket Type1",3755.112,3567.6564,95.008
"99","NCP18",12.15,"Low_Fat",0.02846,"Household",149.9708,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4363.653,4213.6822,96.563
"100","FDB56",8.75,"Regular",0.074627,"Fruits and Vegetables",187.8556,"OUT046","1997","Small","Tier 1","Supermarket Type1",1314.289,1126.4334,85.707
"101","FDT28",13.3,"Low_Fat",0.063695,"Frozen Foods",151.0708,"OUT045","2002","Small","Tier 2","Supermarket Type1",1805.65,1654.5792,91.633
"102","FDD10",20.6,"Regular",0.045798,"Snack Foods",178.5344,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2854.95,2676.4156,93.746
"103","FDW57",8.31,"Regular",0.115857,"Snack Foods",179.1028,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3896.262,3717.1592,95.403
"104","DRB48",16.75,"Regular",0.024833,"Soft Drinks",38.7822,"OUT013","1987","High","Tier 3","Supermarket Type1",667.7974,629.0152,94.193
"105","FDP09",19.75,"Low_Fat",0.034028,"Snack Foods",212.0902,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3185.853,2973.7628,93.343
"106","FDH14",17.1,"Regular",0.04677,"Canned",141.1838,"OUT013","1987","High","Tier 3","Supermarket Type1",2247.741,2106.5572,93.719
"107","FDA47",10.5,"Regular",0.116577,"Baking Goods",163.121,"OUT013","1987","High","Tier 3","Supermarket Type1",1794.331,1631.21,90.909
"108","FDG12",6.635,"Regular",0.00422416666666667,"Baking Goods",121.3098,"OUT045","2002","Small","Tier 2","Supermarket Type1",2530.706,2409.3962,95.206
"109","DRE60",9.395,"Low_Fat",0.278974,"Soft Drinks",225.372,"OUT019","1985","Small","Tier 1","Grocery Store",679.116,453.744,66.814
"110","DRK49",14.15,"Low_Fat",0.035914,"Soft Drinks",41.4138,"OUT013","1987","High","Tier 3","Supermarket Type1",812.276,770.8622,94.902
"111","FDD03",13.3,"Low_Fat",0.079806,"Dairy",232.53,"OUT046","1997","Small","Tier 1","Supermarket Type1",699.09,466.56,66.738
"112","FDS52",8.89,"Low_Fat",0.005505,"Frozen Foods",102.4016,"OUT017","2007","Small","Tier 2","Supermarket Type1",2732.443,2630.0414,96.252
"113","FDW39",6.69,"Regular",0.064625,"Meat",176.937,"OUT019","1985","Small","Tier 1","Grocery Store",176.437,-0.5,-0.283
"114","FDX34",6.195,"Low_Fat",0.071637,"Snack Foods",121.7098,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4097.333,3975.6232,97.03
"115","FDV11",9.1,"Regular",0.0750355,"Breads",173.2054,"OUT045","2002","Small","Tier 2","Supermarket Type1",3151.897,2978.6916,94.505
"116","FDD17",7.5,"Low_Fat",0.032678,"Frozen Foods",239.0906,"OUT049","1999","Medium","Tier 1","Supermarket Type1",5942.265,5703.1744,95.976
"117","FDZ16",16.85,"Regular",0.16076,"Frozen Foods",192.4478,"OUT017","2007","Small","Tier 2","Supermarket Type1",4843.695,4651.2472,96.027
"118","FDZ46",7.485,"Low_Fat",0.069111,"Snack Foods",109.0228,"OUT035","2004","Small","Tier 2","Supermarket Type1",2542.024,2433.0012,95.711
"119","DRA12",11.6,"Low_Fat",0.041178,"Soft Drinks",140.3154,"OUT017","2007","Small","Tier 2","Supermarket Type1",2552.677,2412.3616,94.503
"120","FDY58",11.65,"Low_Fat",0.040081,"Snack Foods",227.0694,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1141.847,914.7776,80.114
"121","NCF19",13,"Low_Fat",0.035307,"Household",47.5034,"OUT017","2007","Small","Tier 2","Supermarket Type1",680.4476,632.9442,93.019
"122","DRJ13",12.65,"Low_Fat",0.063018,"Soft Drinks",159.0578,"OUT045","2002","Small","Tier 2","Supermarket Type1",2085.951,1926.8932,92.375
"123","FDB14",20.25,"Regular",0.171939,"Canned",92.512,"OUT010","1998","Small","Tier 3","Grocery Store",186.424,93.912,50.375
"124","FDJ38",8.6,"Regular",0.040198,"Canned",190.153,"OUT035","2004","Small","Tier 2","Supermarket Type1",3036.048,2845.895,93.737
"125","FDW11",12.6,"Low_Fat",0.049058,"Breads",62.7194,"OUT017","2007","Small","Tier 2","Supermarket Type1",866.8716,804.1522,92.765
"126","FDL40",17.7,"Low_Fat",0.011611,"Frozen Foods",95.041,"OUT035","2004","Small","Tier 2","Supermarket Type1",868.869,773.828,89.062
"127","DRI49",14.15,"Low_Fat",0.183507,"Soft Drinks",82.4276,"OUT046","1997","Small","Tier 1","Supermarket Type1",1137.186,1054.7584,92.752
"128","FDV38",19.25,"Low_Fat",0.10235,"Dairy",52.7956,"OUT017","2007","Small","Tier 2","Supermarket Type1",928.1252,875.3296,94.312
"129","DRG23",8.88,"Low_Fat",0.086709,"Hard Drinks",151.7682,"OUT013","1987","High","Tier 3","Supermarket Type1",762.341,610.5728,80.092
"130","NCP30",20.5,"Low_Fat",0.032835,"Household",40.2822,"OUT045","2002","Small","Tier 2","Supermarket Type1",707.0796,666.7974,94.303
"131","FDY25",12,"Low_Fat",0.03381,"Canned",180.5976,"OUT027","1985","Medium","Tier 3","Supermarket Type3",7968.294,7787.6964,97.734
"132","NCH54",13.5,"Low_Fat",0.072669,"Household",160.292,"OUT046","1997","Small","Tier 1","Supermarket Type1",1438.128,1277.836,88.854
"133","NCR53",12.15,"Low_Fat",0.144338,"Health and Hygiene",224.4404,"OUT027","1985","Medium","Tier 3","Supermarket Type3",6976.252,6751.8116,96.783
"134","FDS52",8.89,"Low_Fat",0.009163,"Frozen Foods",101.7016,"OUT010","1998","Small","Tier 3","Grocery Store",101.2016,-0.5,-0.494
"135","FDG02",7.855,"Low_Fat",0.011307,"Canned",188.5188,"OUT018","2009","Medium","Tier 3","Supermarket Type2",952.094,763.5752,80.2
"136","NCO26",7.235,"Low_Fat",0.076856,"Household",116.0492,"OUT046","1997","Small","Tier 1","Supermarket Type1",1969.436,1853.3868,94.107
"137","FDH35",18.25,"Low_Fat",0.059957,"Starchy Foods",165.4526,"OUT027","1985","Medium","Tier 3","Supermarket Type3",5262.483,5097.0304,96.856
"138","FDB51",6.92,"Low_Fat",0.038532,"Dairy",60.5852,"OUT045","2002","Small","Tier 2","Supermarket Type1",1314.289,1253.7038,95.39
"139","FDX44",9.3,"Low_Fat",0.04321,"Fruits and Vegetables",90.8172,"OUT017","2007","Small","Tier 2","Supermarket Type1",535.3032,444.486,83.034
"140","NCN07",18.5,"Low_Fat",0.056816,"Others",132.1284,"OUT010","1998","Small","Tier 3","Grocery Store",263.6568,131.5284,49.886
"141","NCC31",8.02,"Low_Fat",0.019867,"Household",154.5972,"OUT035","2004","Small","Tier 2","Supermarket Type1",1402.175,1247.5778,88.974
"142","NCX54",9.195,"Low_Fat",0.048332,"Household",105.1622,"OUT017","2007","Small","Tier 2","Supermarket Type1",1693.795,1588.6328,93.791
"143","NCO55",12.8,"Low_Fat",0.091222,"Others",105.5938,"OUT045","2002","Small","Tier 2","Supermarket Type1",2143.876,2038.2822,95.075
"144","NCC30",16.6,"Low_Fat",0.027622,"Household",177.6344,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2676.516,2498.8816,93.363
"145","FDI16",14,"Regular",0.128357833333333,"Frozen Foods",53.064,"OUT035","2004","Small","Tier 2","Supermarket Type1",905.488,852.424,94.14
"146","FDP16",18.6,"Low_Fat",0.039356,"Frozen Foods",246.3802,"OUT049","1999","Medium","Tier 1","Supermarket Type1",7370.406,7124.0258,96.657
"147","FDB11",16,"Low_Fat",0.060837,"Starchy Foods",226.8404,"OUT035","2004","Small","Tier 2","Supermarket Type1",6301.131,6074.2906,96.4
"148","NCB06",17.6,"Low_Fat",0.082317,"Health and Hygiene",160.692,"OUT035","2004","Small","Tier 2","Supermarket Type1",1597.92,1437.228,89.944
"149","FDA45",21.25,"Low_Fat",0.15535,"Snack Foods",178.237,"OUT035","2004","Small","Tier 2","Supermarket Type1",529.311,351.074,66.327
"150","NCO26",7.235,"Low_Fat",0.076841,"Household",117.5492,"OUT035","2004","Small","Tier 2","Supermarket Type1",1969.436,1851.8868,94.031
"151","DRJ25",14.6,"Low_Fat",0.151419,"Soft Drinks",50.3692,"OUT017","2007","Small","Tier 2","Supermarket Type1",1034.653,984.2838,95.132
"152","FDR28",13.85,"Regular",0.026002,"Frozen Foods",161.521,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1794.331,1632.81,90.998
"153","FDI04",13.65,"Regular",0.073209,"Frozen Foods",197.6426,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2768.396,2570.7534,92.861
"154","DRK12",9.5,"Low_Fat",0.041683,"Soft Drinks",31.29,"OUT027","1985","Medium","Tier 3","Supermarket Type3",898.83,867.54,96.519
"155","FDX20",7.365,"Low_Fat",0.04256,"Fruits and Vegetables",226.172,"OUT046","1997","Small","Tier 1","Supermarket Type1",3169.208,2943.036,92.863
"156","NCI18",18.35,"Low_Fat",0.014081,"Household",223.5746,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3589.994,3366.4194,93.772
"157","FDB36",5.465,"Regular",0.034675,"Baking Goods",132.5626,"OUT018","2009","Medium","Tier 3","Supermarket Type2",262.3252,129.7626,49.466
"158","FDN13",18.6,"Low_Fat",0.152918,"Breakfast",99.8358,"OUT017","2007","Small","Tier 2","Supermarket Type1",1910.18,1810.3442,94.773
"159","DRD24",13.85,"Low_Fat",0.030969,"Soft Drinks",140.9154,"OUT017","2007","Small","Tier 2","Supermarket Type1",1701.785,1560.8696,91.72
"160","FDQ28",14,"Regular",0.060377,"Frozen Foods",154.5656,"OUT013","1987","High","Tier 3","Supermarket Type1",2471.45,2316.8844,93.746
"161","FDM22",14,"Regular",0.041923,"Snack Foods",54.764,"OUT013","1987","High","Tier 3","Supermarket Type1",1331.6,1276.836,95.887
"162","FDR07",21.35,"Low_Fat",0.077367,"Fruits and Vegetables",97.0094,"OUT027","1985","Medium","Tier 3","Supermarket Type3",1808.979,1711.9696,94.637
"163","FDV25",5.905,"Low_Fat",0.045838,"Canned",222.5456,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3315.684,3093.1384,93.288
"164","DRF49",7.27,"Low_Fat",0.071078,"Soft Drinks",114.2518,"OUT046","1997","Small","Tier 1","Supermarket Type1",2618.591,2504.3392,95.637
"165","FDW51",6.155,"Regular",0.09466,"Meat",214.556,"OUT046","1997","Small","Tier 1","Supermarket Type1",2769.728,2555.172,92.254
"166","DRL01",19.5,"Regular",0.077609,"Soft Drinks",233.4958,"OUT017","2007","Small","Tier 2","Supermarket Type1",5375.003,5141.5072,95.656
"167","FDP25",15.2,"Low_Fat",0.021327,"Canned",216.8824,"OUT017","2007","Small","Tier 2","Supermarket Type1",2838.971,2622.0886,92.361
"168","FDL50",12.15,"Regular",0.042485,"Canned",125.0046,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1743.064,1618.0594,92.828
"169","NCB30",14.6,"Low_Fat",0.025579,"Household",198.8084,"OUT027","1985","Medium","Tier 3","Supermarket Type3",5555.435,5356.6266,96.421
"170","FDW11",12.6,"Low_Fat",0.048981,"Breads",61.9194,"OUT018","2009","Medium","Tier 3","Supermarket Type2",619.194,557.2746,90
"171","NCM43",14.5,"Low_Fat",0.019472,"Others",164.821,"OUT035","2004","Small","Tier 2","Supermarket Type1",2120.573,1955.752,92.228
"172","FDK44",16.6,"Low_Fat",0.122919,"Fruits and Vegetables",173.0738,"OUT017","2007","Small","Tier 2","Supermarket Type1",3823.024,3649.9502,95.473
"173","FDM15",11.8,"Regular",0.057374,"Meat",151.4366,"OUT013","1987","High","Tier 3","Supermarket Type1",1360.229,1208.7924,88.867
"174","FDS31",13.1,"Regular",0.044156,"Fruits and Vegetables",178.8318,"OUT013","1987","High","Tier 3","Supermarket Type1",3969.5,3790.6682,95.495
"175","FDI32",17.7,"Low_Fat",0.291865,"Fruits and Vegetables",115.1834,"OUT010","1998","Small","Tier 3","Grocery Store",345.5502,230.3668,66.667
"176","FDR47",17.85,"Low_Fat",0.0700876,"Breads",196.5794,"OUT010","1998","Small","Tier 3","Grocery Store",585.2382,388.6588,66.41
